source,name,slug,status,type,description
Chapter 10 (Dictionary),Geokinesis,geokinesis,published,definition,"Type: Ability
User: Elementals & Gods

Geokinesis is the ability to control the earth. Popularized by the Earth God Tur and Elementals."
Chapter 10 (Dictionary),Aerokinesis,aerokinesis,published,definition,"Type: Ability
User: Elementals

Aerokinesis is another elemental ability allowing the control of the air, wind, and usually users have the gift of flight."
Chapter 10 (Dictionary),Hovering,hovering,published,definition,"Type: Ability
User: All types of Mages and Descendants

Sub-ability to flight, hovering allows the user to hover above the ground or surface. A common ability and can often be done through meditation or the use of extreme power."
Chapter 10 (Dictionary),Spirit Magic,spirit-magic,published,definition,"Type: Ability
User: All types of Mages and Descendants

Forbidden magic unless stated by a high authority’s figure. Spirit magic allows the user a great deal control over spirits and to be able to intervene into the spirit world. Spirit Woman, spirits, ghosts, and Necromancers are users of this ability."
Chapter 10 (Dictionary),Necromancing,necromancing,published,definition,"Type: Ability
User: Soul Man, Gods of the Underworld

Ability to control the dead and bring someone back from the dead. Forbidden magic that can cause someone to face death or be greatly punished by the Gods of the Underworld and High Council. Soul Man used the Pearl of Indomnia to control the dead in an alternate universe. He was punished and his power was given back to the gods."
Chapter 10 (Dictionary),Common Abilities,common-abilities,published,definition,"Type: Ability
User: Varies

These abilities are very common and are usually found amongst descendants:"
Chapter 10 (Dictionary),Lazer Eyes,lazer-eyes,published,definition,Ability to shoot lazers from your eyes.
Chapter 10 (Dictionary),Super Strength,super-strength,published,definition,
Chapter 10 (Dictionary),Enhanced Sight,enhanced-sight,published,definition,
Chapter 10 (Dictionary),Enhanced Speed,enhanced-speed,published,definition,
Chapter 10 (Dictionary),Enhanced Taste,enhanced-taste,published,definition,
Chapter 10 (Dictionary),Enhanced Touch,enhanced-touch,published,definition,The ability to feel every little thing on an object.
Chapter 10 (Dictionary),Enhanced Hearing,enhanced-hearing,published,definition,"Also called Sonic Hearing, is the ability to hear great distances and in detail."
Chapter 10 (Dictionary),Common Magic,common-magic,published,definition,"Type: Ability
User: Varies

These abilities are very common amongst mages:"
Chapter 10 (Dictionary),Sensing,sensing,published,definition,Allows the user to sense other physical beings around them.
Chapter 10 (Dictionary),Potion Making,potion-making,published,definition,Basic spell casting without the use of direct magic.
Chapter 10 (Dictionary),Floating,floating,published,definition,Like hovering but allows someone to move in various ways.
Chapter 10 (Dictionary),Spell Casting,spell-casting,published,definition,A common ability by many mages. It can range from basic potion making to powerful spells.
Chapter 10 (Dictionary),Soul Swapping,soul-swapping,published,definition,"Type: Spell
User: Witches & Wizards

A rare and dangerous spell that allows the caster to swap souls with someone or something else. If the spell can’t reverse, then it becomes permanent after 24 hours."
Chapter 10 (Dictionary),Mostibik,mostibik,published,definition,"Age: Lasted 14 days
Cause: Fall of the gods and Valkens

An event predicted during the birth of the gods, that all gods would fall in an epic battle between Gods and Valkens. This event caused the world to forget about the existence of the gods, their home was destroyed."
Chapter 10 (Dictionary),Dominion Fall,dominion-fall,published,definition,"Age: 7 days
Cause: Tonik’s betrayal against the Domi Mages

Tonik betrayed his brethren to gain most power from the flowing cosmic source of energy. He created shadow creatures and battled with the other Domi Mages. Tonik at the end was defeated and then banished to a dark place later known as the Shadow Realm."
Chapter 10 (Dictionary),Dark Ages,dark-ages,published,definition,"Age: 100 years
Cause: Tonik attempt to overthrow all magic

Tonik returned thousands of years after his banishment although in a weakened state. At this moment he created another army of loyal followers. He created dragons, Sholls, and other shadow creatures in the process and collectively started what would become the Dark Ages across numerous worlds. This war resulted in the creation of the High Council and the Royal Family of magic."
Chapter 10 (Dictionary),Dark War,dark-war,published,definition,"Age: 20 years
Cause: Hunters attack on Mages

At the end of the Dark Ages, the Hunters saw how powerful the mages are and feared that they would grow too powerful. A group of hunters came together and brought forth a war against the mages to lessen their control over their world. In the fallout, magic ceased to work for days. During this time, the mages came up with Battle Magic, adopted technology from Earth, and learned basics like farming and cooking. At the end of the Dark War, the hunters were all but driven out of the Magical Community. To ensure magic would never face such grim times again."
Chapter 10 (Dictionary),Fracture Point,fracture-point,published,definition,"Age: 4 days
Cause: Akuma eating universes

Fracture Point is a point in time where the Akuma caused the multiverse to blend. This event lasted for days before various magical and human beings stopped the comic entity."
Chapter 10 (Dictionary),Fixed Point,fixed-point,published,definition,"Age: Random throughout time
Cause: To prevent time from being influenced

Fixed Point a moment in time where no one can prevent it from happening. This moment is scattered throughout history and created by Shecknurd and the Arcota as pivotal moments that can change the direction and flow of time in unmanageable ways."
Chapter 10 (Dictionary),End of Time,end-of-time,published,definition,"Age: Unknown
Cause: Time starts over

One of the most feared and important moments in time. This marks the end of the universe and is predicted to come when many stars have died out. Although the exact moment is unknown by everyone except Shecknurd, The Neither, GOD, Chaos, Tonik, Kain Lazaron, Olerta, Jonun, The Groners, and the Angels of Destiny."
Chapter 10 (Dictionary),Anka and Elshack’s birth,anka-and-elshacks-birth,published,definition,"Age: Six hours
Cause: Anka is born and wakes up

During this moment before time, Anka awakens to perpetual darkness. It becomes aware of its existence and creates light to see. This light turns into Elshack.

This moment is the first moment ever in existence, as nothing existed before it. When it happens not even GOD, Chaos, Elshack, nor The Neither knows. It is believed that because of its age, not even Anka knows of when it was born."
Chapter 10 (Dictionary),War of Heaven Part One,war-of-heaven-part-one,published,definition,"Age: Uknown
Cause: Chaos and God fight

Chaos growing frustrated with the noise and light that GOD creates, began destroying GOD’s creations. In a rage, the two fought birthing the Primordial Existence in the process. Chaos creates the Leviathans to overpower GOD, while GOD creates the Ho’zare and later the Akuma and wins the fight."
Chapter 10 (Dictionary),Birth of Evil,birth-of-evil,published,definition,"Age: Throughout time
Cause: Chaos fall to Oblivion

As Chaos begins to fall to the dark nothingness of existence, its essence starts to spread and influence future beings born into existence including Belckus and Lucifer. This moment is the known as the Birth of Evil."
Chapter 10 (Dictionary),War of Heaven Part Two,war-of-heaven-part-two,published,definition,"Age: 666 years
Cause: Belckus war against GOD

God creates the beautiful six-winged Primordial Ones and instructs them to fill the new universe with stars and planets. Furious of their attention from GOD, Belckus creates the Belki to show his own power to GOD, with GOD unknowingly unaware of the Belki, Belckus enraged starts a war against GOD and the newly formed Heaven. This leads to the second war of the Heavens. Belckus and the Belki are then sent to the lowest parts of existence and a cage later known as Hell is built around them."
Chapter 10 (Dictionary),War of Heaven Part Three and Fall of Lucifer,war-of-heaven-part-three-and-fall-of-lucifer,published,definition,"Age: 66 years
Cause: Lucifer war against Heaven

Like the fate of Belckus, the third war of the heavens was caused by Lucifer and his battle against Heaven’s archangels. The reason was because of his growing jealousy of GOD’s affection of humans and the gifts presented these flawed creatures. After attempting humans to betray GOD’s commands countless time, GOD continued to give them chances. This enraged the young angel, the last Battle of Heaven ended when Lucifer was banished to Hell with his followers."
Chapter 10 (Dictionary),Afterworld Beginnings,afterworld-beginnings,published,definition,"Age: WWIII lasted almost 10 years
Cause: Countries fighting against each other, killing billions

War World Three finally happens when all the countries of Earth fight nearly destroying everything on the planet. Those who remain takes sides as they divide the Earth even further. Old Worlders believe in the old ways, while the Supreme believe in technology and moving forward from the war."
Chapter 10 (Dictionary),Day of Retribution,day-of-retribution,published,definition,"Age: One day each year
Cause: To lower crime rates

A once in a year event that allows anyone to take the life of someone else over the age of 18 without any consequences. It takes place in Universe 666 and has been called by many names by numerous residents. It started in 1908 and has since became a public date when governments started to sanction it. Because of this event, crimes across the world have decreased considerably, causing many to treat this day as a relief, vacation, and holiday. For some it is the world’s day to let out their worse desires."
Chapter 10 (Dictionary),Hallow’s Eve,hallows-eve,published,definition,"Age: Since the birth of time and later Olerta
Cause: Olerta one day of sleep

Hallow’s Eve is the true Halloween, it is the moment each year when the veil between the realms is weakened because it is the one day that Olerta is asleep. On this day, the dead can awake and roam the living world, Hell’s gates are open although demons are powerless, same for angels and spirits of all kinds. Spirits and ghosts can take corporal form in the Realm of the Living. While this day has greatly diminished over time with Olerta placing safeguards in fear of beings abusing this day. However, in numerous realities such as Universe 666, his event is a day of Hell on Earth."
Chapter 10 (Dictionary),Reverse Time Moment,reverse-time-moment,published,definition,"Age: Unknown
Cause: At the End of Time

A moment at the end of time when the new Elshack restarts existence and Shecknurd creates new Arcota from previously deceased living beings. During, this moment everything in existence except for Eden is destroyed and recreated to mark the rebirth of all things. Only Elshack remembers the previous creation of existence."
Chapter 10 (Dictionary),Dissolution,dissolution,published,definition,"Age: Year 1230
Cause: The need to enhance mages abilities

During the year 1230, Mages learned how to no longer need to carry their magical books with them everywhere again, thus allowing the Magical Community to grow stronger."
Chapter 10 (Dictionary),The Outbreak,the-outbreak,published,definition,"Age: 50 years
Cause: Shadow Realm overtakes the Earth

In the year 5943, 3000 years from current day, the Shadow Realm will spill onto Earth unleashing death and destruction. The advanced civilization of mankind is attempting to stop this invasion. However, humans failed, and the shadow creatures overtook Earth. In the process, nearly 7 billion people became zombies and other types of shadow creatures. During this time, Earth started to appear like how it did centuries prior.  This moment in time became the premise of the Rise of the Dead saga."
Chapter 10 (Dictionary),Society rebuilding on Earth,society-rebuilding-on-earth,published,definition,"Age: 300 years
Cause: Rebuilding Earth after WWIII

After WWIII, humans began to rebuild society. In the process the story of Afterworld unfolds. Old worlders started to rebuild on the ground creating a peaceful Utopia while New Worlders created cities in the sky."
Chapter 10 (Dictionary),Ancestors of the Lazarons,ancestors-of-the-lazarons,published,definition,This coven primarily was focused on Europe and from them came a witch that created the first demon vanquishing spell. From them would birth four of the most powerful witches to have ever lived The Lazarons.
Chapter 10 (Dictionary),Ancestors of the Witch’s Council,ancestors-of-the-witchs-council,published,definition,This coven primarily based in South America was the creator of the first spell book and from them the first Witch’s Council.
Chapter 10 (Dictionary),Ancestors of Asian Witchcraft,ancestors-of-asian-witchcraft,published,definition,This coven primarily focused on Asia was the first ones to integrate witchcraft with the power of the Asian deities.
Chapter 10 (Dictionary),Ancestors of the Charmed Ones,ancestors-of-the-charmed-ones,published,definition,This coven was formed in North America and became the ancestors to the of the most powerful witches in history and from them came a twice blessed warlock powerful enough to destroy demons with one word.
Chapter 10 (Dictionary),Ancestors of the Hiltons,ancestors-of-the-hiltons,published,definition,"Note: Ancestral Magic, Royal Family of Witches

This coven focused on Africa became the first royal family of witches and from them came ancestral magic and the formation of the Ancestral plane where witches went to lend their magic to their future descendants."
Chapter 10 (Dictionary),Ancestors of Wizards and Gypsies,ancestors-of-wizards-and-gypsies,published,definition,"This coven unlike the rest, not focused in one place. Became the ancestors to Gypsies and Wizards. From them came berserk magic and the first use of using magical items to direct their magic."
